"","slug_region","label_region","label","indicador","count"
"1","almeida","Almeida","Almeida","especies_endemicas",2
"2","aquitania","Aquitania","Aquitania","especies_endemicas",24
"3","arcabuco","Arcabuco","Arcabuco","especies_endemicas",22
"4","belen-boy","Belén","Belén","especies_endemicas",10
"5","berbeo","Berbeo","Berbeo","especies_endemicas",5
"6","beteitiva","Betéitiva","Betéitiva","especies_endemicas",0
"7","boavita","Boavita","Boavita","especies_endemicas",3
"8","boyaca-boy","Boyacá","Boyacá","especies_endemicas",4
"9","briceno-boy","Briceño","Briceño","especies_endemicas",1
"10","buenavista-boy","Buenavista","Buenavista","especies_endemicas",2
"11","busbanza","Busbanzá","Busbanzá","especies_endemicas",0
"12","caldas-boy","Caldas","Caldas","especies_endemicas",3
"13","campohermoso","Campohermoso","Campohermoso","especies_endemicas",10
"14","cerinza","Cerinza","Cerinza","especies_endemicas",8
"15","chinavita","Chinavita","Chinavita","especies_endemicas",2
"16","chiquinquira","Chiquinquirá","Chiquinquirá","especies_endemicas",4
"17","chiquiza","Chíquiza","Chíquiza","especies_endemicas",9
"18","chiscas","Chiscas","Chiscas","especies_endemicas",1
"19","chita","Chita","Chita","especies_endemicas",3
"20","chitaraque","Chitaraque","Chitaraque","especies_endemicas",4
"21","chivata","Chivatá","Chivatá","especies_endemicas",0
"22","chivor","Chivor","Chivor","especies_endemicas",2
"23","cienega","Ciénega","Ciénega","especies_endemicas",5
"24","combita","Cómbita","Cómbita","especies_endemicas",11
"25","coper","Coper","Coper","especies_endemicas",7
"26","corrales","Corrales","Corrales","especies_endemicas",1
"27","covarachia","Covarachía","Covarachía","especies_endemicas",0
"28","cubara","Cubará","Cubará","especies_endemicas",1
"29","cucaita","Cucaita","Cucaita","especies_endemicas",1
"30","cuitiva","Cuítiva","Cuítiva","especies_endemicas",6
"31","duitama","Duitama","Duitama","especies_endemicas",27
"32","el-cocuy","El Cocuy","El Cocuy","especies_endemicas",5
"33","el-espino","El Espino","El Espino","especies_endemicas",0
"34","firavitoba","Firavitoba","Firavitoba","especies_endemicas",5
"35","floresta","Floresta","Floresta","especies_endemicas",0
"36","gachantiva","Gachantivá","Gachantivá","especies_endemicas",16
"37","gameza","Gámeza","Gámeza","especies_endemicas",1
"38","garagoa","Garagoa","Garagoa","especies_endemicas",15
"39","guacamayas","Guacamayas","Guacamayas","especies_endemicas",2
"40","guateque","Guateque","Guateque","especies_endemicas",1
"41","guayata","Guayatá","Guayatá","especies_endemicas",4
"42","guican-de-la-sierra","Güicán de la Sierra","Güicán de la Sierra","especies_endemicas",9
"43","iza","Iza","Iza","especies_endemicas",1
"44","jenesano","Jenesano","Jenesano","especies_endemicas",2
"45","jerico-boy","Jericó","Jericó","especies_endemicas",1
"46","la-capilla","La Capilla","La Capilla","especies_endemicas",0
"47","la-uvita","La Uvita","La Uvita","especies_endemicas",4
"48","la-victoria-boy","La Victoria","La Victoria","especies_endemicas",0
"49","labranzagrande","Labranzagrande","Labranzagrande","especies_endemicas",1
"50","macanal","Macanal","Macanal","especies_endemicas",5
"51","maripi","Maripí","Maripí","especies_endemicas",0
"52","miraflores-boy","Miraflores","Miraflores","especies_endemicas",16
"53","mongua","Mongua","Mongua","especies_endemicas",17
"54","mongui","Monguí","Monguí","especies_endemicas",11
"55","moniquira","Moniquirá","Moniquirá","especies_endemicas",11
"56","motavita","Motavita","Motavita","especies_endemicas",2
"57","muzo","Muzo","Muzo","especies_endemicas",9
"58","nobsa","Nobsa","Nobsa","especies_endemicas",1
"59","nuevo-colon","Nuevo Colón","Nuevo Colón","especies_endemicas",1
"60","oicata","Oicatá","Oicatá","especies_endemicas",3
"61","otanche","Otanche","Otanche","especies_endemicas",26
"62","pachavita","Pachavita","Pachavita","especies_endemicas",3
"63","paez-boy","Páez","Páez","especies_endemicas",8
"64","paipa","Paipa","Paipa","especies_endemicas",17
"65","pajarito","Pajarito","Pajarito","especies_endemicas",22
"66","panqueba","Panqueba","Panqueba","especies_endemicas",1
"67","pauna","Pauna","Pauna","especies_endemicas",14
"68","paya","Paya","Paya","especies_endemicas",10
"69","paz-de-rio","Paz de Río","Paz de Río","especies_endemicas",1
"70","pesca","Pesca","Pesca","especies_endemicas",6
"71","pisba","Pisba","Pisba","especies_endemicas",3
"72","puerto-boyaca","Puerto Boyacá","Puerto Boyacá","especies_endemicas",65
"73","quipama","Quípama","Quípama","especies_endemicas",11
"74","ramiriqui","Ramiriquí","Ramiriquí","especies_endemicas",5
"75","raquira","Ráquira","Ráquira","especies_endemicas",5
"76","rondon","Rondón","Rondón","especies_endemicas",9
"77","saboya","Saboyá","Saboyá","especies_endemicas",2
"78","sachica","Sáchica","Sáchica","especies_endemicas",2
"79","samaca","Samacá","Samacá","especies_endemicas",5
"80","san-eduardo","San Eduardo","San Eduardo","especies_endemicas",1
"81","san-jose-de-pare","San José de Pare","San José de Pare","especies_endemicas",2
"82","san-luis-de-gaceno","San Luis de Gaceno","San Luis de Gaceno","especies_endemicas",19
"83","san-mateo","San Mateo","San Mateo","especies_endemicas",6
"84","san-miguel-de-sema","San Miguel de Sema","San Miguel de Sema","especies_endemicas",6
"85","san-pablo-de-borbur","San Pablo de Borbur","San Pablo de Borbur","especies_endemicas",7
"86","santa-maria-boy","Santa María","Santa María","especies_endemicas",23
"87","santa-rosa-de-viterbo","Santa Rosa de Viterbo","Santa Rosa de Viterbo","especies_endemicas",14
"88","santa-sofia","Santa Sofía","Santa Sofía","especies_endemicas",7
"89","santana","Santana","Santana","especies_endemicas",1
"90","sativanorte","Sativanorte","Sativanorte","especies_endemicas",2
"91","sativasur","Sativasur","Sativasur","especies_endemicas",0
"92","siachoque","Siachoque","Siachoque","especies_endemicas",2
