"","slug_region","label_region","label","indicador","count"
"1","almeida","Almeida","Almeida","registros_endemicas",32
"2","aquitania","Aquitania","Aquitania","registros_endemicas",2206
"3","arcabuco","Arcabuco","Arcabuco","registros_endemicas",1058
"4","belen-boy","Belén","Belén","registros_endemicas",1200
"5","berbeo","Berbeo","Berbeo","registros_endemicas",24
"6","beteitiva","Betéitiva","Betéitiva","registros_endemicas",0
"7","boavita","Boavita","Boavita","registros_endemicas",29
"8","boyaca-boy","Boyacá","Boyacá","registros_endemicas",19
"9","briceno-boy","Briceño","Briceño","registros_endemicas",4
"10","buenavista-boy","Buenavista","Buenavista","registros_endemicas",6
"11","busbanza","Busbanzá","Busbanzá","registros_endemicas",2
"12","caldas-boy","Caldas","Caldas","registros_endemicas",9
"13","campohermoso","Campohermoso","Campohermoso","registros_endemicas",46
"14","cerinza","Cerinza","Cerinza","registros_endemicas",966
"15","chinavita","Chinavita","Chinavita","registros_endemicas",37
"16","chiquinquira","Chiquinquirá","Chiquinquirá","registros_endemicas",25
"17","chiquiza","Chíquiza","Chíquiza","registros_endemicas",169
"18","chiscas","Chiscas","Chiscas","registros_endemicas",72
"19","chita","Chita","Chita","registros_endemicas",71
"20","chitaraque","Chitaraque","Chitaraque","registros_endemicas",236
"21","chivata","Chivatá","Chivatá","registros_endemicas",1
"22","chivor","Chivor","Chivor","registros_endemicas",21
"23","cienega","Ciénega","Ciénega","registros_endemicas",172
"24","combita","Cómbita","Cómbita","registros_endemicas",278
"25","coper","Coper","Coper","registros_endemicas",8
"26","corrales","Corrales","Corrales","registros_endemicas",6
"27","covarachia","Covarachía","Covarachía","registros_endemicas",2
"28","cubara","Cubará","Cubará","registros_endemicas",7
"29","cucaita","Cucaita","Cucaita","registros_endemicas",17
"30","cuitiva","Cuítiva","Cuítiva","registros_endemicas",236
"31","duitama","Duitama","Duitama","registros_endemicas",1371
"32","el-cocuy","El Cocuy","El Cocuy","registros_endemicas",1328
"33","el-espino","El Espino","El Espino","registros_endemicas",17
"34","firavitoba","Firavitoba","Firavitoba","registros_endemicas",43
"35","floresta","Floresta","Floresta","registros_endemicas",4
"36","gachantiva","Gachantivá","Gachantivá","registros_endemicas",427
"37","gameza","Gámeza","Gámeza","registros_endemicas",4
"38","garagoa","Garagoa","Garagoa","registros_endemicas",218
"39","guacamayas","Guacamayas","Guacamayas","registros_endemicas",26
"40","guateque","Guateque","Guateque","registros_endemicas",4
"41","guayata","Guayatá","Guayatá","registros_endemicas",24
"42","guican-de-la-sierra","Güicán de la Sierra","Güicán de la Sierra","registros_endemicas",415
"43","iza","Iza","Iza","registros_endemicas",1
"44","jenesano","Jenesano","Jenesano","registros_endemicas",7
"45","jerico-boy","Jericó","Jericó","registros_endemicas",4
"46","la-capilla","La Capilla","La Capilla","registros_endemicas",4
"47","la-uvita","La Uvita","La Uvita","registros_endemicas",74
"48","la-victoria-boy","La Victoria","La Victoria","registros_endemicas",3
"49","labranzagrande","Labranzagrande","Labranzagrande","registros_endemicas",201
"50","macanal","Macanal","Macanal","registros_endemicas",20
"51","maripi","Maripí","Maripí","registros_endemicas",8
"52","miraflores-boy","Miraflores","Miraflores","registros_endemicas",318
"53","mongua","Mongua","Mongua","registros_endemicas",1265
"54","mongui","Monguí","Monguí","registros_endemicas",279
"55","moniquira","Moniquirá","Moniquirá","registros_endemicas",190
"56","motavita","Motavita","Motavita","registros_endemicas",16
"57","muzo","Muzo","Muzo","registros_endemicas",33
"58","nobsa","Nobsa","Nobsa","registros_endemicas",11
"59","nuevo-colon","Nuevo Colón","Nuevo Colón","registros_endemicas",3
"60","oicata","Oicatá","Oicatá","registros_endemicas",3
"61","otanche","Otanche","Otanche","registros_endemicas",472
"62","pachavita","Pachavita","Pachavita","registros_endemicas",15
"63","paez-boy","Páez","Páez","registros_endemicas",32
"64","paipa","Paipa","Paipa","registros_endemicas",491
"65","pajarito","Pajarito","Pajarito","registros_endemicas",331
"66","panqueba","Panqueba","Panqueba","registros_endemicas",6
"67","pauna","Pauna","Pauna","registros_endemicas",199
"68","paya","Paya","Paya","registros_endemicas",59
"69","paz-de-rio","Paz de Río","Paz de Río","registros_endemicas",24
"70","pesca","Pesca","Pesca","registros_endemicas",587
"71","pisba","Pisba","Pisba","registros_endemicas",10
"72","puerto-boyaca","Puerto Boyacá","Puerto Boyacá","registros_endemicas",1930
"73","quipama","Quípama","Quípama","registros_endemicas",81
"74","ramiriqui","Ramiriquí","Ramiriquí","registros_endemicas",71
"75","raquira","Ráquira","Ráquira","registros_endemicas",327
"76","rondon","Rondón","Rondón","registros_endemicas",177
"77","saboya","Saboyá","Saboyá","registros_endemicas",37
"78","sachica","Sáchica","Sáchica","registros_endemicas",52
"79","samaca","Samacá","Samacá","registros_endemicas",360
"80","san-eduardo","San Eduardo","San Eduardo","registros_endemicas",1
"81","san-jose-de-pare","San José de Pare","San José de Pare","registros_endemicas",11
"82","san-luis-de-gaceno","San Luis de Gaceno","San Luis de Gaceno","registros_endemicas",201
"83","san-mateo","San Mateo","San Mateo","registros_endemicas",68
"84","san-miguel-de-sema","San Miguel de Sema","San Miguel de Sema","registros_endemicas",34
"85","san-pablo-de-borbur","San Pablo de Borbur","San Pablo de Borbur","registros_endemicas",59
"86","santa-maria-boy","Santa María","Santa María","registros_endemicas",651
"87","santa-rosa-de-viterbo","Santa Rosa de Viterbo","Santa Rosa de Viterbo","registros_endemicas",304
"88","santa-sofia","Santa Sofía","Santa Sofía","registros_endemicas",27
"89","santana","Santana","Santana","registros_endemicas",1
"90","sativanorte","Sativanorte","Sativanorte","registros_endemicas",68
"91","sativasur","Sativasur","Sativasur","registros_endemicas",2
"92","siachoque","Siachoque","Siachoque","registros_endemicas",62
"93","soata","Soatá","Soatá","registros_endemicas",1009
"94","socha","Socha","Socha","registros_endemicas",371
"95","socota","Socotá","Socotá","registros_endemicas",283
"96","sogamoso","Sogamoso","Sogamoso","registros_endemicas",185
"97","somondoco","Somondoco","Somondoco","registros_endemicas",5
"98","sora","Sora","Sora","registros_endemicas",10
"99","soraca","Soracá","Soracá","registros_endemicas",26
"100","sotaquira","Sotaquirá","Sotaquirá","registros_endemicas",776
"101","susacon","Susacón","Susacón","registros_endemicas",631
"102","sutamarchan","Sutamarchán","Sutamarchán","registros_endemicas",27
"103","sutatenza","Sutatenza","Sutatenza","registros_endemicas",6
"104","tasco","Tasco","Tasco","registros_endemicas",453
"105","tenza","Tenza","Tenza","registros_endemicas",0
"106","tibana","Tibaná","Tibaná","registros_endemicas",35
"107","tibasosa","Tibasosa","Tibasosa","registros_endemicas",101
"108","tinjaca","Tinjacá","Tinjacá","registros_endemicas",49
"109","tipacoque","Tipacoque","Tipacoque","registros_endemicas",138
"110","toca","Toca","Toca","registros_endemicas",966
"111","togui","Togüí","Togüí","registros_endemicas",185
"112","topaga","Tópaga","Tópaga","registros_endemicas",10
"113","tota","Tota","Tota","registros_endemicas",328
"114","tunja","Tunja","Tunja","registros_endemicas",298
"115","tunungua","Tununguá","Tununguá","registros_endemicas",3
"116","turmeque","Turmequé","Turmequé","registros_endemicas",13
"117","tuta","Tuta","Tuta","registros_endemicas",37
"118","tutaza","Tutazá","Tutazá","registros_endemicas",90
"119","umbita","Úmbita","Úmbita","registros_endemicas",24
"120","ventaquemada","Ventaquemada","Ventaquemada","registros_endemicas",192
"121","villa-de-leyva","Villa de Leyva","Villa de Leyva","registros_endemicas",1201
"122","viracacha","Viracachá","Viracachá","registros_endemicas",185
"123","zetaquira","Zetaquira","Zetaquira","registros_endemicas",41
