"","slug_region","slug_grupo","label_region","label","registros_exoticas"
"1","almeida","animales","Almeida","Almeida",0
"2","aquitania","animales","Aquitania","Aquitania",0
"3","arcabuco","animales","Arcabuco","Arcabuco",2
"4","belen-boy","animales","Belén","Belén",0
"5","berbeo","animales","Berbeo","Berbeo",0
"6","beteitiva","animales","Betéitiva","Betéitiva",0
"7","boavita","animales","Boavita","Boavita",0
"8","boyaca-boy","animales","Boyacá","Boyacá",0
"9","briceno-boy","animales","Briceño","Briceño",0
"10","buenavista-boy","animales","Buenavista","Buenavista",0
"11","busbanza","animales","Busbanzá","Busbanzá",0
"12","caldas-boy","animales","Caldas","Caldas",0
"13","campohermoso","animales","Campohermoso","Campohermoso",0
"14","cerinza","animales","Cerinza","Cerinza",0
"15","chinavita","animales","Chinavita","Chinavita",0
"16","chiquinquira","animales","Chiquinquirá","Chiquinquirá",2
"17","chiquiza","animales","Chíquiza","Chíquiza",0
"18","chiscas","animales","Chiscas","Chiscas",0
"19","chita","animales","Chita","Chita",0
"20","chitaraque","animales","Chitaraque","Chitaraque",0
"21","chivata","animales","Chivatá","Chivatá",0
"22","chivor","animales","Chivor","Chivor",0
"23","cienega","animales","Ciénega","Ciénega",0
"24","combita","animales","Cómbita","Cómbita",0
"25","coper","animales","Coper","Coper",0
"26","corrales","animales","Corrales","Corrales",0
"27","covarachia","animales","Covarachía","Covarachía",0
"28","cubara","animales","Cubará","Cubará",0
"29","cucaita","animales","Cucaita","Cucaita",0
"30","cuitiva","animales","Cuítiva","Cuítiva",0
"31","duitama","animales","Duitama","Duitama",52
"32","el-cocuy","animales","El Cocuy","El Cocuy",0
"33","el-espino","animales","El Espino","El Espino",0
"34","firavitoba","animales","Firavitoba","Firavitoba",0
"35","floresta","animales","Floresta","Floresta",0
"36","gachantiva","animales","Gachantivá","Gachantivá",4
"37","gameza","animales","Gámeza","Gámeza",0
"38","garagoa","animales","Garagoa","Garagoa",1
"39","guacamayas","animales","Guacamayas","Guacamayas",0
"40","guateque","animales","Guateque","Guateque",0
"41","guayata","animales","Guayatá","Guayatá",0
"42","guican-de-la-sierra","animales","Güicán de la Sierra","Güicán de la Sierra",0
"43","iza","animales","Iza","Iza",0
"44","jenesano","animales","Jenesano","Jenesano",0
"45","jerico-boy","animales","Jericó","Jericó",0
"46","la-capilla","animales","La Capilla","La Capilla",3
"47","la-uvita","animales","La Uvita","La Uvita",0
"48","la-victoria-boy","animales","La Victoria","La Victoria",0
"49","labranzagrande","animales","Labranzagrande","Labranzagrande",0
"50","macanal","animales","Macanal","Macanal",3
"51","maripi","animales","Maripí","Maripí",0
"52","miraflores-boy","animales","Miraflores","Miraflores",5
"53","mongua","animales","Mongua","Mongua",0
"54","mongui","animales","Monguí","Monguí",0
"55","moniquira","animales","Moniquirá","Moniquirá",3
"56","motavita","animales","Motavita","Motavita",0
"57","muzo","animales","Muzo","Muzo",1
