"","slug_region","label_region","label","indicador","count"
"1","almeida","Almeida","Almeida","registros_endemicas",25
"2","aquitania","Aquitania","Aquitania","registros_endemicas",903
"3","arcabuco","Arcabuco","Arcabuco","registros_endemicas",599
"4","belen-boy","Belén","Belén","registros_endemicas",1109
"5","berbeo","Berbeo","Berbeo","registros_endemicas",0
"6","beteitiva","Betéitiva","Betéitiva","registros_endemicas",0
"7","boavita","Boavita","Boavita","registros_endemicas",21
"8","boyaca-boy","Boyacá","Boyacá","registros_endemicas",15
"9","briceno-boy","Briceño","Briceño","registros_endemicas",2
"10","buenavista-boy","Buenavista","Buenavista","registros_endemicas",0
"11","busbanza","Busbanzá","Busbanzá","registros_endemicas",2
"12","caldas-boy","Caldas","Caldas","registros_endemicas",6
"13","campohermoso","Campohermoso","Campohermoso","registros_endemicas",4
"14","cerinza","Cerinza","Cerinza","registros_endemicas",900
"15","chinavita","Chinavita","Chinavita","registros_endemicas",29
"16","chiquinquira","Chiquinquirá","Chiquinquirá","registros_endemicas",12
"17","chiquiza","Chíquiza","Chíquiza","registros_endemicas",103
"18","chiscas","Chiscas","Chiscas","registros_endemicas",70
"19","chita","Chita","Chita","registros_endemicas",65
"20","chitaraque","Chitaraque","Chitaraque","registros_endemicas",1
"21","chivata","Chivatá","Chivatá","registros_endemicas",1
"22","chivor","Chivor","Chivor","registros_endemicas",9
"23","cienega","Ciénega","Ciénega","registros_endemicas",108
"24","combita","Cómbita","Cómbita","registros_endemicas",171
"25","coper","Coper","Coper","registros_endemicas",0
"26","corrales","Corrales","Corrales","registros_endemicas",4
"27","covarachia","Covarachía","Covarachía","registros_endemicas",2
"28","cubara","Cubará","Cubará","registros_endemicas",6
"29","cucaita","Cucaita","Cucaita","registros_endemicas",14
"30","cuitiva","Cuítiva","Cuítiva","registros_endemicas",16
"31","duitama","Duitama","Duitama","registros_endemicas",1004
"32","el-cocuy","El Cocuy","El Cocuy","registros_endemicas",1294
"33","el-espino","El Espino","El Espino","registros_endemicas",17
"34","firavitoba","Firavitoba","Firavitoba","registros_endemicas",23
"35","floresta","Floresta","Floresta","registros_endemicas",4
"36","gachantiva","Gachantivá","Gachantivá","registros_endemicas",37
"37","gameza","Gámeza","Gámeza","registros_endemicas",1
"38","garagoa","Garagoa","Garagoa","registros_endemicas",38
"39","guacamayas","Guacamayas","Guacamayas","registros_endemicas",16
"40","guateque","Guateque","Guateque","registros_endemicas",3
"41","guayata","Guayatá","Guayatá","registros_endemicas",3
"42","guican-de-la-sierra","Güicán de la Sierra","Güicán de la Sierra","registros_endemicas",334
"43","iza","Iza","Iza","registros_endemicas",0
"44","jenesano","Jenesano","Jenesano","registros_endemicas",3
"45","jerico-boy","Jericó","Jericó","registros_endemicas",3
"46","la-capilla","La Capilla","La Capilla","registros_endemicas",4
"47","la-uvita","La Uvita","La Uvita","registros_endemicas",55
"48","la-victoria-boy","La Victoria","La Victoria","registros_endemicas",3
"49","labranzagrande","Labranzagrande","Labranzagrande","registros_endemicas",196
"50","macanal","Macanal","Macanal","registros_endemicas",4
"51","maripi","Maripí","Maripí","registros_endemicas",8
"52","miraflores-boy","Miraflores","Miraflores","registros_endemicas",18
"53","mongua","Mongua","Mongua","registros_endemicas",905
"54","mongui","Monguí","Monguí","registros_endemicas",139
"55","moniquira","Moniquirá","Moniquirá","registros_endemicas",41
"56","motavita","Motavita","Motavita","registros_endemicas",5
"57","muzo","Muzo","Muzo","registros_endemicas",3
"58","nobsa","Nobsa","Nobsa","registros_endemicas",7
"59","nuevo-colon","Nuevo Colón","Nuevo Colón","registros_endemicas",2
"60","oicata","Oicatá","Oicatá","registros_endemicas",0
"61","otanche","Otanche","Otanche","registros_endemicas",104
"62","pachavita","Pachavita","Pachavita","registros_endemicas",8
"63","paez-boy","Páez","Páez","registros_endemicas",7
"64","paipa","Paipa","Paipa","registros_endemicas",189
"65","pajarito","Pajarito","Pajarito","registros_endemicas",50
"66","panqueba","Panqueba","Panqueba","registros_endemicas",2
"67","pauna","Pauna","Pauna","registros_endemicas",74
"68","paya","Paya","Paya","registros_endemicas",3
"69","paz-de-rio","Paz de Río","Paz de Río","registros_endemicas",14
