"","slug_region","slug_grupo","label_region","label","especies_exoticas"
"1","almeida","plantas","Almeida","Almeida",6
"2","aquitania","plantas","Aquitania","Aquitania",29
"3","arcabuco","plantas","Arcabuco","Arcabuco",57
"4","belen-boy","plantas","Belén","Belén",14
"5","berbeo","plantas","Berbeo","Berbeo",3
"6","beteitiva","plantas","Betéitiva","Betéitiva",0
"7","boavita","plantas","Boavita","Boavita",20
"8","boyaca-boy","plantas","Boyacá","Boyacá",6
"9","briceno-boy","plantas","Briceño","Briceño",1
"10","buenavista-boy","plantas","Buenavista","Buenavista",1
"11","busbanza","plantas","Busbanzá","Busbanzá",1
"12","caldas-boy","plantas","Caldas","Caldas",0
"13","campohermoso","plantas","Campohermoso","Campohermoso",7
"14","cerinza","plantas","Cerinza","Cerinza",10
"15","chinavita","plantas","Chinavita","Chinavita",0
"16","chiquinquira","plantas","Chiquinquirá","Chiquinquirá",11
"17","chiquiza","plantas","Chíquiza","Chíquiza",11
"18","chiscas","plantas","Chiscas","Chiscas",10
"19","chita","plantas","Chita","Chita",6
"20","chitaraque","plantas","Chitaraque","Chitaraque",0
"21","chivata","plantas","Chivatá","Chivatá",1
"22","chivor","plantas","Chivor","Chivor",1
"23","cienega","plantas","Ciénega","Ciénega",3
"24","combita","plantas","Cómbita","Cómbita",6
"25","coper","plantas","Coper","Coper",0
"26","corrales","plantas","Corrales","Corrales",1
"27","covarachia","plantas","Covarachía","Covarachía",2
"28","cubara","plantas","Cubará","Cubará",2
"29","cucaita","plantas","Cucaita","Cucaita",1
"30","cuitiva","plantas","Cuítiva","Cuítiva",8
"31","duitama","plantas","Duitama","Duitama",96
"32","el-cocuy","plantas","El Cocuy","El Cocuy",18
"33","el-espino","plantas","El Espino","El Espino",2
"34","firavitoba","plantas","Firavitoba","Firavitoba",14
"35","floresta","plantas","Floresta","Floresta",2
"36","gachantiva","plantas","Gachantivá","Gachantivá",31
"37","gameza","plantas","Gámeza","Gámeza",1
"38","garagoa","plantas","Garagoa","Garagoa",22
"39","guacamayas","plantas","Guacamayas","Guacamayas",54
"40","guateque","plantas","Guateque","Guateque",9
"41","guayata","plantas","Guayatá","Guayatá",3
"42","guican-de-la-sierra","plantas","Güicán de la Sierra","Güicán de la Sierra",25
"43","iza","plantas","Iza","Iza",1
"44","jenesano","plantas","Jenesano","Jenesano",1
