"","slug_region","slug_grupo","label_region","label","especies_invasoras"
"1","almeida","plantas","Almeida","Almeida",0
"2","aquitania","plantas","Aquitania","Aquitania",0
"3","arcabuco","plantas","Arcabuco","Arcabuco",2
"4","belen-boy","plantas","Belén","Belén",0
"5","berbeo","plantas","Berbeo","Berbeo",0
"6","beteitiva","plantas","Betéitiva","Betéitiva",0
"7","boavita","plantas","Boavita","Boavita",0
"8","boyaca-boy","plantas","Boyacá","Boyacá",1
"9","briceno-boy","plantas","Briceño","Briceño",0
"10","buenavista-boy","plantas","Buenavista","Buenavista",0
"11","busbanza","plantas","Busbanzá","Busbanzá",0
"12","caldas-boy","plantas","Caldas","Caldas",0
"13","campohermoso","plantas","Campohermoso","Campohermoso",0
"14","cerinza","plantas","Cerinza","Cerinza",0
"15","chinavita","plantas","Chinavita","Chinavita",0
"16","chiquinquira","plantas","Chiquinquirá","Chiquinquirá",0
"17","chiquiza","plantas","Chíquiza","Chíquiza",1
"18","chiscas","plantas","Chiscas","Chiscas",0
"19","chita","plantas","Chita","Chita",0
"20","chitaraque","plantas","Chitaraque","Chitaraque",0
"21","chivata","plantas","Chivatá","Chivatá",0
"22","chivor","plantas","Chivor","Chivor",0
"23","cienega","plantas","Ciénega","Ciénega",2
"24","combita","plantas","Cómbita","Cómbita",0
"25","coper","plantas","Coper","Coper",0
"26","corrales","plantas","Corrales","Corrales",0
"27","covarachia","plantas","Covarachía","Covarachía",0
"28","cubara","plantas","Cubará","Cubará",0
"29","cucaita","plantas","Cucaita","Cucaita",0
"30","cuitiva","plantas","Cuítiva","Cuítiva",1
"31","duitama","plantas","Duitama","Duitama",3
"32","el-cocuy","plantas","El Cocuy","El Cocuy",0
"33","el-espino","plantas","El Espino","El Espino",0
"34","firavitoba","plantas","Firavitoba","Firavitoba",0
"35","floresta","plantas","Floresta","Floresta",0
"36","gachantiva","plantas","Gachantivá","Gachantivá",1
"37","gameza","plantas","Gámeza","Gámeza",1
"38","garagoa","plantas","Garagoa","Garagoa",0
"39","guacamayas","plantas","Guacamayas","Guacamayas",1
"40","guateque","plantas","Guateque","Guateque",0
"41","guayata","plantas","Guayatá","Guayatá",0
"42","guican-de-la-sierra","plantas","Güicán de la Sierra","Güicán de la Sierra",0
"43","iza","plantas","Iza","Iza",0
"44","jenesano","plantas","Jenesano","Jenesano",0
"45","jerico-boy","plantas","Jericó","Jericó",0
"46","la-capilla","plantas","La Capilla","La Capilla",0
"47","la-uvita","plantas","La Uvita","La Uvita",0
"48","la-victoria-boy","plantas","La Victoria","La Victoria",0
"49","labranzagrande","plantas","Labranzagrande","Labranzagrande",0
"50","macanal","plantas","Macanal","Macanal",0
"51","maripi","plantas","Maripí","Maripí",0
"52","miraflores-boy","plantas","Miraflores","Miraflores",0
"53","mongua","plantas","Mongua","Mongua",0
