"","slug_region","label_region","label","indicador","count"
"1","agua-de-dios","Agua de Dios","Agua de Dios","registros_endemicas",4
"2","alban-cund","Albán","Albán","registros_endemicas",100
"3","anapoima","Anapoima","Anapoima","registros_endemicas",10
"4","anolaima","Anolaima","Anolaima","registros_endemicas",39
"5","apulo","Apulo","Apulo","registros_endemicas",9
"6","arbelaez","Arbeláez","Arbeláez","registros_endemicas",25
"7","beltran","Beltrán","Beltrán","registros_endemicas",64
"8","bituima","Bituima","Bituima","registros_endemicas",1
"9","bojaca","Bojacá","Bojacá","registros_endemicas",88
"10","cabrera-cun","Cabrera","Cabrera","registros_endemicas",759
"11","cachipay","Cachipay","Cachipay","registros_endemicas",17
"12","cajica","Cajicá","Cajicá","registros_endemicas",7
"13","caparrapi","Caparrapí","Caparrapí","registros_endemicas",29
"14","caqueza","Cáqueza","Cáqueza","registros_endemicas",32
"15","carmen-de-carupa","Carmen de Carupa","Carmen de Carupa","registros_endemicas",210
"16","chaguani","Chaguaní","Chaguaní","registros_endemicas",30
"17","chia","Chía","Chía","registros_endemicas",184
"18","chipaque","Chipaque","Chipaque","registros_endemicas",532
"19","choachi","Choachí","Choachí","registros_endemicas",563
"20","choconta","Chocontá","Chocontá","registros_endemicas",73
"21","cogua","Cogua","Cogua","registros_endemicas",113
"22","cota","Cota","Cota","registros_endemicas",81
"23","cucunuba","Cucunubá","Cucunubá","registros_endemicas",13
"24","el-colegio","El Colegio","El Colegio","registros_endemicas",11
"25","el-penon-cun","El Peñón","El Peñón","registros_endemicas",17
"26","el-rosal","El Rosal","El Rosal","registros_endemicas",24
"27","facatativa","Facatativá","Facatativá","registros_endemicas",271
"28","fomeque","Fómeque","Fómeque","registros_endemicas",2310
"29","fosca","Fosca","Fosca","registros_endemicas",30
"30","funza","Funza","Funza","registros_endemicas",2
"31","fuquene","Fúquene","Fúquene","registros_endemicas",31
"32","fusagasuga","Fusagasugá","Fusagasugá","registros_endemicas",169
"33","gachala","Gachalá","Gachalá","registros_endemicas",20
"34","gachancipa","Gachancipá","Gachancipá","registros_endemicas",15
"35","gacheta","Gachetá","Gachetá","registros_endemicas",16
"36","gama","Gama","Gama","registros_endemicas",102
"37","girardot","Girardot","Girardot","registros_endemicas",8
"38","granada-cun","Granada","Granada","registros_endemicas",50
"39","guacheta","Guachetá","Guachetá","registros_endemicas",30
"40","guaduas","Guaduas","Guaduas","registros_endemicas",155
"41","guasca","Guasca","Guasca","registros_endemicas",4419
"42","guataqui","Guataquí","Guataquí","registros_endemicas",5
"43","guatavita","Guatavita","Guatavita","registros_endemicas",1674
"44","guayabal-de-siquima","Guayabal de Síquima","Guayabal de Síquima","registros_endemicas",3
"45","guayabetal","Guayabetal","Guayabetal","registros_endemicas",37
"46","gutierrez","Gutiérrez","Gutiérrez","registros_endemicas",34
"47","jerusalen","Jerusalén","Jerusalén","registros_endemicas",2
"48","junin","Junín","Junín","registros_endemicas",444
"49","la-calera","La Calera","La Calera","registros_endemicas",1001
"50","la-mesa","La Mesa","La Mesa","registros_endemicas",102
"51","la-palma","La Palma","La Palma","registros_endemicas",17
"52","la-pena","La Peña","La Peña","registros_endemicas",4
"53","la-vega-cun","La Vega","La Vega","registros_endemicas",71
"54","lenguazaque","Lenguazaque","Lenguazaque","registros_endemicas",87
"55","macheta","Machetá","Machetá","registros_endemicas",23
"56","madrid","Madrid","Madrid","registros_endemicas",18
"57","manta","Manta","Manta","registros_endemicas",1
"58","medina","Medina","Medina","registros_endemicas",218
"59","mosquera-cun","Mosquera","Mosquera","registros_endemicas",99
"60","narino-cun","Nariño","Nariño","registros_endemicas",27
"61","nemocon","Nemocón","Nemocón","registros_endemicas",48
"62","nilo","Nilo","Nilo","registros_endemicas",19
"63","nimaima","Nimaima","Nimaima","registros_endemicas",4
"64","nocaima","Nocaima","Nocaima","registros_endemicas",27
"65","pacho","Pacho","Pacho","registros_endemicas",193
"66","paime","Paime","Paime","registros_endemicas",0
"67","pandi","Pandi","Pandi","registros_endemicas",32
"68","paratebueno","Paratebueno","Paratebueno","registros_endemicas",1
"69","pasca","Pasca","Pasca","registros_endemicas",805
"70","puerto-salgar","Puerto Salgar","Puerto Salgar","registros_endemicas",12
"71","puli","Pulí","Pulí","registros_endemicas",0
"72","quebradanegra","Quebradanegra","Quebradanegra","registros_endemicas",0
"73","quetame","Quetame","Quetame","registros_endemicas",31
"74","quipile","Quipile","Quipile","registros_endemicas",5
"75","ricaurte-cun","Ricaurte","Ricaurte","registros_endemicas",1
"76","san-antonio-del-tequendama","San Antonio del Tequendama","San Antonio del Tequendama","registros_endemicas",198
"77","san-bernardo-cun","San Bernardo","San Bernardo","registros_endemicas",113
"78","san-cayetano-cun","San Cayetano","San Cayetano","registros_endemicas",27
"79","san-francisco-cun","San Francisco","San Francisco","registros_endemicas",473
"80","san-juan-de-rioseco","San Juan de Rioseco","San Juan de Rioseco","registros_endemicas",15
"81","sasaima","Sasaima","Sasaima","registros_endemicas",112
"82","sesquile","Sesquilé","Sesquilé","registros_endemicas",504
"83","sibate","Sibaté","Sibaté","registros_endemicas",177
"84","silvania","Silvania","Silvania","registros_endemicas",161
"85","simijaca","Simijaca","Simijaca","registros_endemicas",10
"86","soacha","Soacha","Soacha","registros_endemicas",1421
"87","sopo","Sopó","Sopó","registros_endemicas",47
"88","subachoque","Subachoque","Subachoque","registros_endemicas",664
"89","suesca","Suesca","Suesca","registros_endemicas",121
"90","supata","Supatá","Supatá","registros_endemicas",43
"91","susa","Susa","Susa","registros_endemicas",13
"92","sutatausa","Sutatausa","Sutatausa","registros_endemicas",15
"93","tabio","Tabio","Tabio","registros_endemicas",105
"94","tausa","Tausa","Tausa","registros_endemicas",734
"95","tena","Tena","Tena","registros_endemicas",135
"96","tenjo","Tenjo","Tenjo","registros_endemicas",46
"97","tibacuy","Tibacuy","Tibacuy","registros_endemicas",20
"98","tibirita","Tibirita","Tibirita","registros_endemicas",1
"99","tocaima","Tocaima","Tocaima","registros_endemicas",38
"100","tocancipa","Tocancipá","Tocancipá","registros_endemicas",47
"101","topaipi","Topaipí","Topaipí","registros_endemicas",3
"102","ubala","Ubalá","Ubalá","registros_endemicas",267
"103","ubaque","Ubaque","Ubaque","registros_endemicas",1067
"104","une","Une","Une","registros_endemicas",329
"105","utica","Útica","Útica","registros_endemicas",10
"106","venecia-cun","Venecia","Venecia","registros_endemicas",12
"107","vergara","Vergara","Vergara","registros_endemicas",5
"108","viani","Vianí","Vianí","registros_endemicas",1
"109","villa-de-san-diego-de-ubate","Villa de San Diego de Ubaté","Villa de San Diego de Ubaté","registros_endemicas",13
"110","villagomez","Villagómez","Villagómez","registros_endemicas",2
"111","villapinzon","Villapinzón","Villapinzón","registros_endemicas",196
"112","villeta","Villeta","Villeta","registros_endemicas",16
"113","viota","Viotá","Viotá","registros_endemicas",25
"114","yacopi","Yacopí","Yacopí","registros_endemicas",52
"115","zipacon","Zipacón","Zipacón","registros_endemicas",67
"116","zipaquira","Zipaquirá","Zipaquirá","registros_endemicas",249
