"","slug_region","slug_grupo","label_region","label","especies_exoticas"
"1","agua-de-dios","plantas","Agua de Dios","Agua de Dios",6
"2","alban-cund","plantas","Albán","Albán",34
"3","anapoima","plantas","Anapoima","Anapoima",25
"4","anolaima","plantas","Anolaima","Anolaima",45
"5","apulo","plantas","Apulo","Apulo",32
"6","arbelaez","plantas","Arbeláez","Arbeláez",45
"7","beltran","plantas","Beltrán","Beltrán",41
"8","bituima","plantas","Bituima","Bituima",3
"9","bojaca","plantas","Bojacá","Bojacá",36
"10","cabrera-cun","plantas","Cabrera","Cabrera",7
"11","cachipay","plantas","Cachipay","Cachipay",53
"12","cajica","plantas","Cajicá","Cajicá",54
"13","caparrapi","plantas","Caparrapí","Caparrapí",14
"14","caqueza","plantas","Cáqueza","Cáqueza",35
"15","carmen-de-carupa","plantas","Carmen de Carupa","Carmen de Carupa",11
"16","chaguani","plantas","Chaguaní","Chaguaní",6
"17","chia","plantas","Chía","Chía",117
"18","chipaque","plantas","Chipaque","Chipaque",19
"19","choachi","plantas","Choachí","Choachí",56
"20","choconta","plantas","Chocontá","Chocontá",16
"21","cogua","plantas","Cogua","Cogua",25
"22","cota","plantas","Cota","Cota",78
"23","cucunuba","plantas","Cucunubá","Cucunubá",9
"24","el-colegio","plantas","El Colegio","El Colegio",33
"25","el-penon-cun","plantas","El Peñón","El Peñón",3
"26","el-rosal","plantas","El Rosal","El Rosal",12
"27","facatativa","plantas","Facatativá","Facatativá",94
"28","fomeque","plantas","Fómeque","Fómeque",38
"29","fosca","plantas","Fosca","Fosca",5
"30","funza","plantas","Funza","Funza",48
"31","fuquene","plantas","Fúquene","Fúquene",15
"32","fusagasuga","plantas","Fusagasugá","Fusagasugá",119
"33","gachala","plantas","Gachalá","Gachalá",3
"34","gachancipa","plantas","Gachancipá","Gachancipá",3
"35","gacheta","plantas","Gachetá","Gachetá",9
"36","gama","plantas","Gama","Gama",3
"37","girardot","plantas","Girardot","Girardot",43
"38","granada-cun","plantas","Granada","Granada",29
"39","guacheta","plantas","Guachetá","Guachetá",5
"40","guaduas","plantas","Guaduas","Guaduas",50
"41","guasca","plantas","Guasca","Guasca",54
"42","guataqui","plantas","Guataquí","Guataquí",11
"43","guatavita","plantas","Guatavita","Guatavita",45
"44","guayabal-de-siquima","plantas","Guayabal de Síquima","Guayabal de Síquima",12
"45","guayabetal","plantas","Guayabetal","Guayabetal",9
"46","gutierrez","plantas","Gutiérrez","Gutiérrez",3
"47","jerusalen","plantas","Jerusalén","Jerusalén",1
"48","junin","plantas","Junín","Junín",10
"49","la-calera","plantas","La Calera","La Calera",95
"50","la-mesa","plantas","La Mesa","La Mesa",79
"51","la-palma","plantas","La Palma","La Palma",3
"52","la-pena","plantas","La Peña","La Peña",2
"53","la-vega-cun","plantas","La Vega","La Vega",78
"54","lenguazaque","plantas","Lenguazaque","Lenguazaque",9
"55","macheta","plantas","Machetá","Machetá",5
"56","madrid","plantas","Madrid","Madrid",32
"57","manta","plantas","Manta","Manta",3
"58","medina","plantas","Medina","Medina",10
"59","mosquera-cun","plantas","Mosquera","Mosquera",69
"60","narino-cun","plantas","Nariño","Nariño",39
