"","slug_region","slug_grupo","label_region","label","registros_exoticas"
"1","agua-de-dios","plantas","Agua de Dios","Agua de Dios",7
"2","alban-cund","plantas","Albán","Albán",62
"3","anapoima","plantas","Anapoima","Anapoima",41
"4","anolaima","plantas","Anolaima","Anolaima",66
"5","apulo","plantas","Apulo","Apulo",43
"6","arbelaez","plantas","Arbeláez","Arbeláez",58
"7","beltran","plantas","Beltrán","Beltrán",119
"8","bituima","plantas","Bituima","Bituima",3
"9","bojaca","plantas","Bojacá","Bojacá",55
"10","cabrera-cun","plantas","Cabrera","Cabrera",17
"11","cachipay","plantas","Cachipay","Cachipay",87
"12","cajica","plantas","Cajicá","Cajicá",137
"13","caparrapi","plantas","Caparrapí","Caparrapí",31
"14","caqueza","plantas","Cáqueza","Cáqueza",52
"15","carmen-de-carupa","plantas","Carmen de Carupa","Carmen de Carupa",20
"16","chaguani","plantas","Chaguaní","Chaguaní",9
"17","chia","plantas","Chía","Chía",331
"18","chipaque","plantas","Chipaque","Chipaque",33
"19","choachi","plantas","Choachí","Choachí",128
"20","choconta","plantas","Chocontá","Chocontá",25
"21","cogua","plantas","Cogua","Cogua",39
"22","cota","plantas","Cota","Cota",198
"23","cucunuba","plantas","Cucunubá","Cucunubá",12
"24","el-colegio","plantas","El Colegio","El Colegio",43
"25","el-penon-cun","plantas","El Peñón","El Peñón",6
"26","el-rosal","plantas","El Rosal","El Rosal",18
"27","facatativa","plantas","Facatativá","Facatativá",266
"28","fomeque","plantas","Fómeque","Fómeque",232
"29","fosca","plantas","Fosca","Fosca",5
"30","funza","plantas","Funza","Funza",90
"31","fuquene","plantas","Fúquene","Fúquene",20
"32","fusagasuga","plantas","Fusagasugá","Fusagasugá",228
"33","gachala","plantas","Gachalá","Gachalá",4
"34","gachancipa","plantas","Gachancipá","Gachancipá",3
"35","gacheta","plantas","Gachetá","Gachetá",17
"36","gama","plantas","Gama","Gama",3
"37","girardot","plantas","Girardot","Girardot",93
"38","granada-cun","plantas","Granada","Granada",41
"39","guacheta","plantas","Guachetá","Guachetá",5
"40","guaduas","plantas","Guaduas","Guaduas",118
"41","guasca","plantas","Guasca","Guasca",365
"42","guataqui","plantas","Guataquí","Guataquí",21
"43","guatavita","plantas","Guatavita","Guatavita",10184
"44","guayabal-de-siquima","plantas","Guayabal de Síquima","Guayabal de Síquima",13
"45","guayabetal","plantas","Guayabetal","Guayabetal",10
"46","gutierrez","plantas","Gutiérrez","Gutiérrez",7
"47","jerusalen","plantas","Jerusalén","Jerusalén",1
"48","junin","plantas","Junín","Junín",16
"49","la-calera","plantas","La Calera","La Calera",410
"50","la-mesa","plantas","La Mesa","La Mesa",145
"51","la-palma","plantas","La Palma","La Palma",4
"52","la-pena","plantas","La Peña","La Peña",3
"53","la-vega-cun","plantas","La Vega","La Vega",130
"54","lenguazaque","plantas","Lenguazaque","Lenguazaque",20
"55","macheta","plantas","Machetá","Machetá",5
"56","madrid","plantas","Madrid","Madrid",45
"57","manta","plantas","Manta","Manta",5
"58","medina","plantas","Medina","Medina",21
"59","mosquera-cun","plantas","Mosquera","Mosquera",149
"60","narino-cun","plantas","Nariño","Nariño",83
"61","nemocon","plantas","Nemocón","Nemocón",22
"62","nilo","plantas","Nilo","Nilo",41
"63","nimaima","plantas","Nimaima","Nimaima",13
"64","nocaima","plantas","Nocaima","Nocaima",75
"65","pacho","plantas","Pacho","Pacho",44
"66","paime","plantas","Paime","Paime",2
"67","pandi","plantas","Pandi","Pandi",46
"68","paratebueno","plantas","Paratebueno","Paratebueno",11
"69","pasca","plantas","Pasca","Pasca",32
"70","puerto-salgar","plantas","Puerto Salgar","Puerto Salgar",10
"71","puli","plantas","Pulí","Pulí",3
"72","quebradanegra","plantas","Quebradanegra","Quebradanegra",7
"73","quetame","plantas","Quetame","Quetame",11
"74","quipile","plantas","Quipile","Quipile",18
"75","ricaurte-cun","plantas","Ricaurte","Ricaurte",14
"76","san-antonio-del-tequendama","plantas","San Antonio del Tequendama","San Antonio del Tequendama",238
"77","san-bernardo-cun","plantas","San Bernardo","San Bernardo",52
"78","san-cayetano-cun","plantas","San Cayetano","San Cayetano",6
"79","san-francisco-cun","plantas","San Francisco","San Francisco",124
"80","san-juan-de-rioseco","plantas","San Juan de Rioseco","San Juan de Rioseco",0
"81","sasaima","plantas","Sasaima","Sasaima",213
"82","sesquile","plantas","Sesquilé","Sesquilé",3102
"83","sibate","plantas","Sibaté","Sibaté",49
"84","silvania","plantas","Silvania","Silvania",91
"85","simijaca","plantas","Simijaca","Simijaca",14
"86","soacha","plantas","Soacha","Soacha",178
"87","sopo","plantas","Sopó","Sopó",83
"88","subachoque","plantas","Subachoque","Subachoque",322
"89","suesca","plantas","Suesca","Suesca",149
"90","supata","plantas","Supatá","Supatá",18
"91","susa","plantas","Susa","Susa",11
"92","sutatausa","plantas","Sutatausa","Sutatausa",14
"93","tabio","plantas","Tabio","Tabio",162
"94","tausa","plantas","Tausa","Tausa",281
"95","tena","plantas","Tena","Tena",67
"96","tenjo","plantas","Tenjo","Tenjo",75
"97","tibacuy","plantas","Tibacuy","Tibacuy",13
"98","tibirita","plantas","Tibirita","Tibirita",2
"99","tocaima","plantas","Tocaima","Tocaima",75
"100","tocancipa","plantas","Tocancipá","Tocancipá",99
"101","topaipi","plantas","Topaipí","Topaipí",2
"102","ubala","plantas","Ubalá","Ubalá",52
"103","ubaque","plantas","Ubaque","Ubaque",40
"104","une","plantas","Une","Une",12
"105","utica","plantas","Útica","Útica",20
"106","venecia-cun","plantas","Venecia","Venecia",3
"107","vergara","plantas","Vergara","Vergara",1
"108","viani","plantas","Vianí","Vianí",0
"109","villa-de-san-diego-de-ubate","plantas","Villa de San Diego de Ubaté","Villa de San Diego de Ubaté",31
"110","villagomez","plantas","Villagómez","Villagómez",2
"111","villapinzon","plantas","Villapinzón","Villapinzón",14
"112","villeta","plantas","Villeta","Villeta",65
"113","viota","plantas","Viotá","Viotá",26
"114","yacopi","plantas","Yacopí","Yacopí",28
"115","zipacon","plantas","Zipacón","Zipacón",34
"116","zipaquira","plantas","Zipaquirá","Zipaquirá",104
