"","slug_region","slug_grupo","label_region","label","registros_invasoras"
"1","agua-de-dios","plantas","Agua de Dios","Agua de Dios",0
"2","alban-cund","plantas","Albán","Albán",0
"3","anapoima","plantas","Anapoima","Anapoima",0
"4","anolaima","plantas","Anolaima","Anolaima",0
"5","apulo","plantas","Apulo","Apulo",0
"6","arbelaez","plantas","Arbeláez","Arbeláez",0
"7","beltran","plantas","Beltrán","Beltrán",0
"8","bituima","plantas","Bituima","Bituima",0
"9","bojaca","plantas","Bojacá","Bojacá",2
"10","cabrera-cun","plantas","Cabrera","Cabrera",1
"11","cachipay","plantas","Cachipay","Cachipay",1
"12","cajica","plantas","Cajicá","Cajicá",3
"13","caparrapi","plantas","Caparrapí","Caparrapí",0
"14","caqueza","plantas","Cáqueza","Cáqueza",1
"15","carmen-de-carupa","plantas","Carmen de Carupa","Carmen de Carupa",1
"16","chaguani","plantas","Chaguaní","Chaguaní",0
"17","chia","plantas","Chía","Chía",12
"18","chipaque","plantas","Chipaque","Chipaque",0
"19","choachi","plantas","Choachí","Choachí",0
"20","choconta","plantas","Chocontá","Chocontá",0
"21","cogua","plantas","Cogua","Cogua",7
"22","cota","plantas","Cota","Cota",4
"23","cucunuba","plantas","Cucunubá","Cucunubá",0
"24","el-colegio","plantas","El Colegio","El Colegio",0
"25","el-penon-cun","plantas","El Peñón","El Peñón",0
"26","el-rosal","plantas","El Rosal","El Rosal",2
"27","facatativa","plantas","Facatativá","Facatativá",9
"28","fomeque","plantas","Fómeque","Fómeque",6
"29","fosca","plantas","Fosca","Fosca",0
"30","funza","plantas","Funza","Funza",3
"31","fuquene","plantas","Fúquene","Fúquene",7
"32","fusagasuga","plantas","Fusagasugá","Fusagasugá",1
"33","gachala","plantas","Gachalá","Gachalá",0
"34","gachancipa","plantas","Gachancipá","Gachancipá",0
"35","gacheta","plantas","Gachetá","Gachetá",0
"36","gama","plantas","Gama","Gama",0
"37","girardot","plantas","Girardot","Girardot",1
"38","granada-cun","plantas","Granada","Granada",0
"39","guacheta","plantas","Guachetá","Guachetá",1
"40","guaduas","plantas","Guaduas","Guaduas",0
"41","guasca","plantas","Guasca","Guasca",25
"42","guataqui","plantas","Guataquí","Guataquí",0
"43","guatavita","plantas","Guatavita","Guatavita",3
"44","guayabal-de-siquima","plantas","Guayabal de Síquima","Guayabal de Síquima",0
"45","guayabetal","plantas","Guayabetal","Guayabetal",0
"46","gutierrez","plantas","Gutiérrez","Gutiérrez",0
"47","jerusalen","plantas","Jerusalén","Jerusalén",0
"48","junin","plantas","Junín","Junín",0
"49","la-calera","plantas","La Calera","La Calera",19
"50","la-mesa","plantas","La Mesa","La Mesa",3
"51","la-palma","plantas","La Palma","La Palma",0
"52","la-pena","plantas","La Peña","La Peña",0
"53","la-vega-cun","plantas","La Vega","La Vega",0
"54","lenguazaque","plantas","Lenguazaque","Lenguazaque",1
"55","macheta","plantas","Machetá","Machetá",0
"56","madrid","plantas","Madrid","Madrid",0
"57","manta","plantas","Manta","Manta",0
"58","medina","plantas","Medina","Medina",0
"59","mosquera-cun","plantas","Mosquera","Mosquera",2
"60","narino-cun","plantas","Nariño","Nariño",0
"61","nemocon","plantas","Nemocón","Nemocón",0
"62","nilo","plantas","Nilo","Nilo",0
"63","nimaima","plantas","Nimaima","Nimaima",0
"64","nocaima","plantas","Nocaima","Nocaima",1
"65","pacho","plantas","Pacho","Pacho",0
"66","paime","plantas","Paime","Paime",0
"67","pandi","plantas","Pandi","Pandi",0
"68","paratebueno","plantas","Paratebueno","Paratebueno",0
"69","pasca","plantas","Pasca","Pasca",0
"70","puerto-salgar","plantas","Puerto Salgar","Puerto Salgar",0
"71","puli","plantas","Pulí","Pulí",0
"72","quebradanegra","plantas","Quebradanegra","Quebradanegra",0
"73","quetame","plantas","Quetame","Quetame",0
"74","quipile","plantas","Quipile","Quipile",0
"75","ricaurte-cun","plantas","Ricaurte","Ricaurte",0
"76","san-antonio-del-tequendama","plantas","San Antonio del Tequendama","San Antonio del Tequendama",0
"77","san-bernardo-cun","plantas","San Bernardo","San Bernardo",0
"78","san-cayetano-cun","plantas","San Cayetano","San Cayetano",0
"79","san-francisco-cun","plantas","San Francisco","San Francisco",1
"80","san-juan-de-rioseco","plantas","San Juan de Rioseco","San Juan de Rioseco",0
"81","sasaima","plantas","Sasaima","Sasaima",4
"82","sesquile","plantas","Sesquilé","Sesquilé",2
"83","sibate","plantas","Sibaté","Sibaté",1
"84","silvania","plantas","Silvania","Silvania",2
"85","simijaca","plantas","Simijaca","Simijaca",0
"86","soacha","plantas","Soacha","Soacha",8
"87","sopo","plantas","Sopó","Sopó",1
"88","subachoque","plantas","Subachoque","Subachoque",3
"89","suesca","plantas","Suesca","Suesca",1
"90","supata","plantas","Supatá","Supatá",0
"91","susa","plantas","Susa","Susa",0
"92","sutatausa","plantas","Sutatausa","Sutatausa",0
"93","tabio","plantas","Tabio","Tabio",3
"94","tausa","plantas","Tausa","Tausa",4
"95","tena","plantas","Tena","Tena",2
"96","tenjo","plantas","Tenjo","Tenjo",2
"97","tibacuy","plantas","Tibacuy","Tibacuy",0
"98","tibirita","plantas","Tibirita","Tibirita",0
"99","tocaima","plantas","Tocaima","Tocaima",0
"100","tocancipa","plantas","Tocancipá","Tocancipá",4
"101","topaipi","plantas","Topaipí","Topaipí",0
"102","ubala","plantas","Ubalá","Ubalá",0
"103","ubaque","plantas","Ubaque","Ubaque",0
"104","une","plantas","Une","Une",0
"105","utica","plantas","Útica","Útica",0
"106","venecia-cun","plantas","Venecia","Venecia",0
"107","vergara","plantas","Vergara","Vergara",0
"108","viani","plantas","Vianí","Vianí",0
"109","villa-de-san-diego-de-ubate","plantas","Villa de San Diego de Ubaté","Villa de San Diego de Ubaté",1
"110","villagomez","plantas","Villagómez","Villagómez",0
"111","villapinzon","plantas","Villapinzón","Villapinzón",0
"112","villeta","plantas","Villeta","Villeta",0
"113","viota","plantas","Viotá","Viotá",0
"114","yacopi","plantas","Yacopí","Yacopí",1
"115","zipacon","plantas","Zipacón","Zipacón",0
"116","zipaquira","plantas","Zipaquirá","Zipaquirá",8
